Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Cough,Rash,Skin Redness,Headache,Ear Pain,Weakness,Skin Peeling,Pneumonia
Weakness,Loss of Taste,Sweating,Nausea,Skin Redness,Dizziness,Abdominal Pain,Meningitis
Loss of Appetite,Loss of Smell,Vomiting,Headache,Diarrhea,Chest Pain,Difficulty Swallowing,Food Poisoning
Headache,Loss of Taste,Rash,Sweating,Confusion,Chills,Difficulty Swallowing,Ear Infection
Cough,Weakness,Difficulty Swallowing,Runny Nose,Shortness of Breath,Chills,Fatigue,COVID-19
Confusion,Shortness of Breath,Weakness,Abdominal Pain,Rash,Chest Pain,Fatigue,Unknown
Skin Peeling,Diarrhea,Rapid Heart Rate,Joint Pain,Headache,Chills,Muscle Pain,Unknown
Chills,Ear Pain,Difficulty Swallowing,Loss of Taste,Rapid Heart Rate,Sore Throat,Fatigue,Scarlet Fever
Abdominal Pain,Swollen Lymph Nodes,Sweating,Difficulty Swallowing,Skin Peeling,Vomiting,Rapid Heart Rate,Strep Throat
Joint Pain,Sore Throat,Fever,Weakness,Loss of Appetite,Sweating,Skin Peeling,Hypotension
Sweating,Dizziness,Shortness of Breath,Joint Pain,Loss of Appetite,Sore Throat,Nausea,Meningitis
Loss of Smell,Diarrhea,Weakness,High Blood Pressure,Cough,Sore Throat,Chills,Unknown
Loss of Taste,Headache,Difficulty Swallowing,Skin Peeling,Diarrhea,Sweating,Shortness of Breath,Unknown
Dizziness,Weakness,Ear Pain,Abdominal Pain,Loss of Smell,Vomiting,Rash,Food Poisoning
Ear Pain,Abdominal Pain,Chills,Headache,Confusion,Skin Redness,Weakness,Flu
Abdominal Pain,Muscle Pain,Diarrhea,Loss of Appetite,Shortness of Breath,Nausea,Weakness,Unknown
Diarrhea,Difficulty Swallowing,Vomiting,Sweating,Loss of Taste,Loss of Appetite,Cough,Unknown
Confusion,Fatigue,Joint Pain,Headache,Vomiting,Runny Nose,Swollen Lymph Nodes,Dengue
Shortness of Breath,Fatigue,Ear Pain,Fever,Chills,Confusion,Loss of Smell,Ear Infection
Runny Nose,Joint Pain,Sweating,Headache,Skin Peeling,Diarrhea,Difficulty Swallowing,Migraine
Low Blood Pressure,Rash,Joint Pain,Shortness of Breath,High Blood Pressure,Loss of Taste,Ear Pain,Unknown
Diarrhea,Skin Peeling,Weakness,Joint Pain,Fever,Muscle Pain,Fatigue,Flu
Chills,Loss of Appetite,Weakness,Diarrhea,Vomiting,Sweating,Skin Peeling,Unknown
Confusion,Weakness,Swollen Lymph Nodes,Skin Redness,Cough,Joint Pain,Chest Pain,Flu
High Blood Pressure,Muscle Pain,Vomiting,Joint Pain,Shortness of Breath,Rapid Heart Rate,Runny Nose,Dengue
Muscle Pain,Ear Pain,Blurred Vision,Weakness,Cough,Vomiting,Rash,Typhoid
Joint Pain,Sore Throat,Skin Peeling,Nausea,Chest Pain,Sweating,Loss of Appetite,Scarlet Fever
Dizziness,Cough,Sweating,Diarrhea,Blurred Vision,Nausea,Rapid Heart Rate,Unknown
Skin Redness,Loss of Appetite,Fever,Rapid Heart Rate,Low Blood Pressure,Runny Nose,Swollen Lymph Nodes,Cold
High Blood Pressure,Diarrhea,Rapid Heart Rate,Loss of Taste,Loss of Smell,Swollen Lymph Nodes,Headache,Ear Infection
Fatigue,Muscle Pain,High Blood Pressure,Cough,Headache,Loss of Smell,Low Blood Pressure,Typhoid
Ear Pain,Runny Nose,Skin Peeling,Fever,Confusion,Chest Pain,Weakness,Strep Throat
Weakness,Runny Nose,Confusion,Shortness of Breath,Swollen Lymph Nodes,Muscle Pain,Nausea,Hypotension
Low Blood Pressure,Ear Pain,Skin Peeling,Nausea,Sore Throat,High Blood Pressure,Dizziness,Flu
Low Blood Pressure,Skin Redness,Abdominal Pain,Skin Peeling,Loss of Smell,Ear Pain,Joint Pain,Hypotension
Cough,Nausea,Vomiting,Joint Pain,Headache,Chills,Skin Redness,Dengue
Ear Pain,Loss of Taste,Cough,Skin Redness,Sweating,Swollen Lymph Nodes,Low Blood Pressure,Flu
Cough,Confusion,Skin Redness,Loss of Taste,Low Blood Pressure,Sweating,Blurred Vision,Unknown
Fever,Nausea,Loss of Taste,Fatigue,Ear Pain,Chills,Rapid Heart Rate,Hypotension
Headache,Chills,Shortness of Breath,High Blood Pressure,Fatigue,Sweating,Diarrhea,Typhoid
Blurred Vision,Loss of Appetite,Loss of Taste,Confusion,Diarrhea,Dizziness,Fatigue,Unknown
Chest Pain,Fatigue,Loss of Taste,Fever,Cough,Loss of Smell,Diarrhea,Unknown
Difficulty Swallowing,Diarrhea,Vomiting,Nausea,Sore Throat,Headache,Rash,Hypertension
Cough,Confusion,Muscle Pain,Sweating,Dizziness,Fever,Joint Pain,Dengue
Vomiting,Chills,Dizziness,Sore Throat,Confusion,High Blood Pressure,Weakness,Hypotension
Swollen Lymph Nodes,Chills,Fatigue,Confusion,Dizziness,Loss of Taste,Weakness,Meningitis
Skin Redness,Rash,Shortness of Breath,Loss of Taste,Sore Throat,Fatigue,Ear Pain,Ear Infection
Sweating,Weakness,Vomiting,Ear Pain,Loss of Taste,Rapid Heart Rate,Loss of Appetite,Unknown
Nausea,Vomiting,Rapid Heart Rate,Ear Pain,Fever,Fatigue,Low Blood Pressure,Meningitis
Abdominal Pain,Nausea,Confusion,Chest Pain,Muscle Pain,Sweating,Skin Peeling,Scarlet Fever
Ear Pain,Nausea,Chest Pain,Cough,Dizziness,Rash,Weakness,Hypertension
Ear Pain,Diarrhea,Skin Peeling,Sweating,Headache,Fever,Shortness of Breath,COVID-19
Low Blood Pressure,Diarrhea,Joint Pain,Sore Throat,Skin Peeling,Fatigue,Chills,Strep Throat
Diarrhea,Shortness of Breath,Chills,Headache,Runny Nose,Low Blood Pressure,Chest Pain,Meningitis
Skin Peeling,Headache,Diarrhea,Sore Throat,Rash,Loss of Smell,Loss of Appetite,COVID-19
Fatigue,Loss of Smell,Rash,Weakness,Chills,Loss of Taste,Abdominal Pain,Food Poisoning
Confusion,Fatigue,Nausea,Skin Redness,Diarrhea,Headache,Abdominal Pain,Food Poisoning
Shortness of Breath,Fatigue,Sweating,Muscle Pain,Difficulty Swallowing,Skin Redness,Runny Nose,Flu
Headache,Swollen Lymph Nodes,Fever,Chest Pain,Ear Pain,Dizziness,Vomiting,Meningitis
Difficulty Swallowing,Rapid Heart Rate,Abdominal Pain,Blurred Vision,Cough,Sore Throat,Ear Pain,Cold
Muscle Pain,Rapid Heart Rate,Weakness,Swollen Lymph Nodes,Abdominal Pain,Loss of Smell,Difficulty Swallowing,Unknown
Nausea,Abdominal Pain,Chest Pain,Loss of Smell,Shortness of Breath,Rash,Fever,Strep Throat
Skin Peeling,Sore Throat,Low Blood Pressure,High Blood Pressure,Ear Pain,Runny Nose,Fatigue,COVID-19
Weakness,Loss of Appetite,Skin Redness,Ear Pain,Shortness of Breath,Chills,Sore Throat,Cold
Weakness,Vomiting,Rash,Loss of Smell,Low Blood Pressure,Cough,Abdominal Pain,Pneumonia
Dizziness,Runny Nose,High Blood Pressure,Loss of Taste,Swollen Lymph Nodes,Skin Peeling,Blurred Vision,Unknown
Loss of Appetite,Fatigue,Low Blood Pressure,Vomiting,Dizziness,Abdominal Pain,Loss of Taste,COVID-19
Skin Redness,Cough,Low Blood Pressure,High Blood Pressure,Blurred Vision,Runny Nose,Dizziness,Unknown
Skin Peeling,Skin Redness,Sweating,Runny Nose,Chest Pain,Rapid Heart Rate,Shortness of Breath,Scarlet Fever
Nausea,Skin Redness,Loss of Smell,Sore Throat,Fever,Shortness of Breath,Confusion,Meningitis
Diarrhea,Nausea,Fever,Swollen Lymph Nodes,Chills,Loss of Smell,Shortness of Breath,Unknown
Low Blood Pressure,Sore Throat,Diarrhea,Confusion,Loss of Appetite,Chills,Skin Peeling,Unknown
Fever,Shortness of Breath,Abdominal Pain,Sweating,Runny Nose,Joint Pain,Vomiting,Scarlet Fever
Weakness,Skin Redness,Difficulty Swallowing,Runny Nose,Joint Pain,Rash,Nausea,Food Poisoning
Loss of Smell,Sweating,Difficulty Swallowing,Loss of Taste,Blurred Vision,Confusion,Loss of Appetite,Unknown
Vomiting,Joint Pain,Nausea,Loss of Taste,Rash,High Blood Pressure,Low Blood Pressure,Hypertension
Chills,Muscle Pain,Sore Throat,High Blood Pressure,Diarrhea,Abdominal Pain,Ear Pain,Flu
Vomiting,Skin Redness,Swollen Lymph Nodes,Fever,Joint Pain,Confusion,Sweating,Meningitis
Weakness,Chills,Runny Nose,Sore Throat,Loss of Appetite,Difficulty Swallowing,Muscle Pain,Ear Infection
Diarrhea,Loss of Appetite,Ear Pain,Confusion,Cough,Blurred Vision,Weakness,Hypotension
Fatigue,Swollen Lymph Nodes,Diarrhea,Sweating,Fever,Loss of Smell,Chills,Flu
Headache,Vomiting,Chills,Muscle Pain,High Blood Pressure,Difficulty Swallowing,Shortness of Breath,Hypertension
Blurred Vision,Chest Pain,Diarrhea,Loss of Taste,Cough,Dizziness,Headache,Unknown
Low Blood Pressure,Fatigue,Loss of Smell,Ear Pain,Shortness of Breath,Headache,Loss of Appetite,Meningitis
Blurred Vision,Sore Throat,Loss of Taste,Ear Pain,Runny Nose,Shortness of Breath,Skin Redness,Unknown
Chest Pain,Abdominal Pain,Skin Peeling,High Blood Pressure,Chills,Diarrhea,Rash,Unknown
Skin Peeling,Loss of Smell,Rapid Heart Rate,Shortness of Breath,Blurred Vision,Vomiting,Sore Throat,Unknown
Chest Pain,Sweating,Abdominal Pain,Blurred Vision,Confusion,Headache,Skin Peeling,Ear Infection
Headache,Swollen Lymph Nodes,Rash,Joint Pain,Loss of Appetite,Cough,Runny Nose,Meningitis
Loss of Taste,Cough,Headache,Rapid Heart Rate,Fever,Chest Pain,Vomiting,Migraine
Diarrhea,Sore Throat,Dizziness,Blurred Vision,Abdominal Pain,Cough,Weakness,Unknown
Shortness of Breath,Fatigue,Low Blood Pressure,Fever,High Blood Pressure,Nausea,Weakness,COVID-19
Loss of Smell,Sore Throat,Loss of Taste,Runny Nose,Nausea,Rash,Fever,Migraine
Dizziness,Skin Peeling,Nausea,Sweating,Difficulty Swallowing,Ear Pain,Swollen Lymph Nodes,Migraine
Ear Pain,High Blood Pressure,Shortness of Breath,Cough,Abdominal Pain,Difficulty Swallowing,Sore Throat,Food Poisoning
Confusion,Loss of Appetite,Weakness,Dizziness,Fever,Chest Pain,Headache,Scarlet Fever
Nausea,Difficulty Swallowing,Weakness,Low Blood Pressure,Diarrhea,Headache,Rash,Unknown
Loss of Smell,Cough,Joint Pain,Fatigue,Rash,Diarrhea,Nausea,Unknown
Nausea,Fever,Muscle Pain,Headache,Abdominal Pain,Confusion,Rapid Heart Rate,Ear Infection
Runny Nose,Dizziness,Muscle Pain,Loss of Appetite,Sore Throat,Cough,Chills,Malaria
Cough,Abdominal Pain,Muscle Pain,Fatigue,Difficulty Swallowing,Runny Nose,Loss of Taste,Unknown
Confusion,Sore Throat,Runny Nose,Difficulty Swallowing,Ear Pain,Loss of Smell,Muscle Pain,Meningitis
Ear Pain,Diarrhea,Headache,Nausea,Cough,Fatigue,Confusion,Flu
Fever,Fatigue,Abdominal Pain,Loss of Smell,Headache,Chest Pain,Swollen Lymph Nodes,Unknown
Skin Peeling,Blurred Vision,Swollen Lymph Nodes,Vomiting,Dizziness,High Blood Pressure,Diarrhea,Unknown
Loss of Appetite,Cough,Weakness,Vomiting,Rash,Diarrhea,Swollen Lymph Nodes,Hypotension
Loss of Taste,Difficulty Swallowing,Loss of Appetite,Joint Pain,Shortness of Breath,Low Blood Pressure,Chest Pain,Ear Infection
Dizziness,Fatigue,Chest Pain,Sore Throat,Chills,Muscle Pain,Diarrhea,Malaria
Weakness,Swollen Lymph Nodes,Skin Redness,Skin Peeling,Chest Pain,Loss of Smell,Nausea,Hypotension
Cough,Sweating,High Blood Pressure,Weakness,Dizziness,Fever,Low Blood Pressure,Hypotension
Chest Pain,Low Blood Pressure,Muscle Pain,Rapid Heart Rate,Dizziness,Rash,Chills,Migraine
Low Blood Pressure,Chest Pain,Shortness of Breath,Loss of Appetite,Dizziness,Fever,Confusion,Typhoid
Abdominal Pain,Fatigue,Blurred Vision,Weakness,Difficulty Swallowing,Sweating,Skin Peeling,Hypertension
Weakness,Abdominal Pain,Headache,Skin Peeling,Loss of Appetite,Muscle Pain,Ear Pain,Unknown
Ear Pain,Loss of Smell,Blurred Vision,Difficulty Swallowing,Rapid Heart Rate,Skin Redness,Chills,Ear Infection
Cough,Diarrhea,Weakness,Joint Pain,Vomiting,Skin Redness,Chest Pain,Scarlet Fever
Low Blood Pressure,Rapid Heart Rate,Sweating,Ear Pain,Loss of Appetite,Nausea,Difficulty Swallowing,Hypotension
Sore Throat,Joint Pain,Skin Redness,Skin Peeling,Weakness,Vomiting,Muscle Pain,Hypotension
Sweating,Rash,Sore Throat,Cough,Chest Pain,Vomiting,Weakness,Unknown
Skin Peeling,High Blood Pressure,Skin Redness,Diarrhea,Abdominal Pain,Fever,Rash,Dengue
Shortness of Breath,Blurred Vision,Swollen Lymph Nodes,Sweating,Diarrhea,Loss of Appetite,Dizziness,Unknown
Skin Redness,Chest Pain,Loss of Appetite,Rapid Heart Rate,Diarrhea,Dizziness,Nausea,Unknown
Joint Pain,Low Blood Pressure,Loss of Smell,Abdominal Pain,Blurred Vision,Shortness of Breath,Sore Throat,Migraine
Muscle Pain,High Blood Pressure,Loss of Smell,Ear Pain,Rapid Heart Rate,Diarrhea,Loss of Appetite,Unknown
Cough,Confusion,Muscle Pain,Weakness,Rapid Heart Rate,Rash,Chest Pain,Flu
Shortness of Breath,Joint Pain,Ear Pain,Blurred Vision,Confusion,Rapid Heart Rate,Headache,Hypertension
Cough,Confusion,Joint Pain,Sweating,Chills,Loss of Smell,Swollen Lymph Nodes,Meningitis
Nausea,Abdominal Pain,High Blood Pressure,Rapid Heart Rate,Loss of Appetite,Ear Pain,Sore Throat,Meningitis
Shortness of Breath,Loss of Taste,High Blood Pressure,Joint Pain,Chest Pain,Skin Redness,Difficulty Swallowing,Unknown
Nausea,Runny Nose,Difficulty Swallowing,Swollen Lymph Nodes,Loss of Smell,Loss of Taste,Chills,Meningitis
Sweating,Joint Pain,Loss of Appetite,Chills,Shortness of Breath,Runny Nose,High Blood Pressure,Unknown
Fever,Skin Peeling,Sore Throat,Vomiting,Loss of Appetite,Diarrhea,Low Blood Pressure,Flu
High Blood Pressure,Swollen Lymph Nodes,Rash,Low Blood Pressure,Abdominal Pain,Difficulty Swallowing,Shortness of Breath,Hypertension
Diarrhea,Runny Nose,Vomiting,Sweating,Ear Pain,Confusion,Swollen Lymph Nodes,Unknown
Fever,Diarrhea,Rapid Heart Rate,Dizziness,Headache,High Blood Pressure,Confusion,Migraine
Loss of Taste,Runny Nose,Shortness of Breath,Ear Pain,Dizziness,Fever,Fatigue,Scarlet Fever
Rapid Heart Rate,Runny Nose,Vomiting,Ear Pain,Low Blood Pressure,Dizziness,Blurred Vision,Unknown
Vomiting,High Blood Pressure,Headache,Diarrhea,Swollen Lymph Nodes,Rapid Heart Rate,Shortness of Breath,COVID-19
Confusion,Joint Pain,Chills,Loss of Taste,Rash,Low Blood Pressure,Headache,Meningitis
Confusion,Rapid Heart Rate,Rash,Abdominal Pain,Vomiting,Skin Peeling,Sweating,Typhoid
Sore Throat,Weakness,High Blood Pressure,Fever,Vomiting,Chest Pain,Confusion,Food Poisoning
Sore Throat,Skin Peeling,Rash,Confusion,Shortness of Breath,Loss of Smell,Chest Pain,Unknown
Vomiting,Joint Pain,Chest Pain,Ear Pain,Swollen Lymph Nodes,Diarrhea,Confusion,Unknown
Shortness of Breath,Loss of Smell,Swollen Lymph Nodes,Low Blood Pressure,Loss of Taste,Rash,Difficulty Swallowing,Unknown
Headache,Weakness,Fatigue,Shortness of Breath,Difficulty Swallowing,Sweating,Nausea,COVID-19
Loss of Smell,Abdominal Pain,Skin Peeling,Dizziness,Sweating,Fatigue,Chest Pain,Scarlet Fever
Rash,Loss of Taste,Dizziness,Confusion,Runny Nose,Blurred Vision,Sore Throat,Dengue
Joint Pain,Rapid Heart Rate,Chest Pain,Loss of Taste,Abdominal Pain,Vomiting,Sweating,Unknown
Headache,Ear Pain,Skin Peeling,Skin Redness,Chills,Fever,Joint Pain,Meningitis
Loss of Smell,Vomiting,Chest Pain,Swollen Lymph Nodes,Diarrhea,Sore Throat,Low Blood Pressure,Pneumonia
Difficulty Swallowing,Cough,Fatigue,Loss of Smell,Rash,Muscle Pain,Fever,Cold
Low Blood Pressure,Chest Pain,Sore Throat,Swollen Lymph Nodes,Diarrhea,Abdominal Pain,High Blood Pressure,Strep Throat
Weakness,Difficulty Swallowing,Low Blood Pressure,Loss of Smell,Swollen Lymph Nodes,Runny Nose,Skin Redness,Unknown
Rash,Loss of Appetite,High Blood Pressure,Skin Peeling,Sweating,Skin Redness,Vomiting,Unknown
Skin Peeling,High Blood Pressure,Weakness,Chest Pain,Runny Nose,Shortness of Breath,Loss of Smell,Cold
Fatigue,High Blood Pressure,Low Blood Pressure,Loss of Smell,Sore Throat,Rapid Heart Rate,Skin Peeling,Flu
High Blood Pressure,Fatigue,Sore Throat,Loss of Taste,Loss of Appetite,Skin Peeling,Rapid Heart Rate,Cold
Fever,High Blood Pressure,Dizziness,Loss of Taste,Sore Throat,Nausea,Swollen Lymph Nodes,COVID-19
Rapid Heart Rate,Skin Redness,Runny Nose,Swollen Lymph Nodes,Chills,Sweating,Fever,COVID-19
Fatigue,Swollen Lymph Nodes,Fever,Skin Redness,Skin Peeling,Abdominal Pain,High Blood Pressure,Malaria
Difficulty Swallowing,Cough,Abdominal Pain,Confusion,Dizziness,Rash,Loss of Smell,Strep Throat
Muscle Pain,Ear Pain,Shortness of Breath,Chills,Skin Redness,Joint Pain,Sore Throat,Flu
Skin Redness,Ear Pain,Difficulty Swallowing,Rash,Low Blood Pressure,Headache,Shortness of Breath,Migraine
Swollen Lymph Nodes,Shortness of Breath,Cough,Chills,Muscle Pain,Runny Nose,Confusion,Meningitis
Dizziness,Ear Pain,High Blood Pressure,Weakness,Confusion,Loss of Appetite,Skin Redness,Typhoid
Sore Throat,Rapid Heart Rate,Loss of Appetite,Cough,Headache,Chest Pain,Fever,Hypotension
Runny Nose,Difficulty Swallowing,Fever,Blurred Vision,Low Blood Pressure,Swollen Lymph Nodes,Diarrhea,Hypotension
Fatigue,Sore Throat,Sweating,Skin Redness,Nausea,Dizziness,Joint Pain,Migraine
Swollen Lymph Nodes,Sore Throat,Loss of Smell,Loss of Appetite,Weakness,Skin Peeling,Fatigue,Cold
Abdominal Pain,Swollen Lymph Nodes,Vomiting,Shortness of Breath,Fatigue,Sweating,Chills,Unknown
Cough,Muscle Pain,Fatigue,Fever,Sweating,Blurred Vision,High Blood Pressure,Typhoid
Chills,Headache,Diarrhea,Fever,Rapid Heart Rate,High Blood Pressure,Difficulty Swallowing,Flu
Headache,Skin Peeling,Fatigue,Confusion,Chills,Rash,Nausea,COVID-19
Rapid Heart Rate,Blurred Vision,Fatigue,Swollen Lymph Nodes,Loss of Smell,Chest Pain,Rash,Hypotension
Nausea,Sore Throat,Fatigue,Skin Redness,Blurred Vision,Chills,Diarrhea,Strep Throat
Skin Redness,Difficulty Swallowing,Skin Peeling,Loss of Appetite,Swollen Lymph Nodes,Rapid Heart Rate,Abdominal Pain,Unknown
Ear Pain,Swollen Lymph Nodes,High Blood Pressure,Joint Pain,Dizziness,Rash,Fever,Pneumonia
Muscle Pain,Abdominal Pain,Difficulty Swallowing,Vomiting,Sweating,Swollen Lymph Nodes,Nausea,Migraine
Weakness,Vomiting,High Blood Pressure,Runny Nose,Nausea,Muscle Pain,Dizziness,Migraine
Fatigue,Skin Peeling,Joint Pain,Difficulty Swallowing,Shortness of Breath,Skin Redness,Rapid Heart Rate,Typhoid
Sweating,Cough,Loss of Taste,Blurred Vision,Rash,Fever,Chills,Cold
Sore Throat,Diarrhea,Rash,Runny Nose,Fatigue,Blurred Vision,Ear Pain,Ear Infection
Cough,Weakness,Ear Pain,Chills,Runny Nose,Rash,Loss of Smell,Unknown
Abdominal Pain,Joint Pain,Confusion,Skin Redness,High Blood Pressure,Headache,Skin Peeling,Migraine
Abdominal Pain,Chills,Confusion,Loss of Taste,Rapid Heart Rate,Low Blood Pressure,Joint Pain,Unknown
Weakness,Joint Pain,Diarrhea,Fatigue,Loss of Smell,Skin Redness,Skin Peeling,Unknown
Sore Throat,Blurred Vision,Confusion,Abdominal Pain,Chills,Skin Peeling,Rapid Heart Rate,Unknown
Muscle Pain,Dizziness,Sweating,Loss of Smell,Vomiting,Confusion,Chest Pain,Unknown
Low Blood Pressure,Skin Redness,Blurred Vision,Rapid Heart Rate,Fatigue,Cough,Loss of Smell,Pneumonia
Loss of Appetite,Joint Pain,Weakness,Rash,Runny Nose,Skin Redness,Sweating,Unknown
Sweating,Muscle Pain,Skin Redness,Chest Pain,Difficulty Swallowing,Joint Pain,Dizziness,Migraine
Rapid Heart Rate,Skin Peeling,Loss of Appetite,Sweating,Runny Nose,Rash,Joint Pain,Unknown
Fatigue,Skin Redness,Muscle Pain,Weakness,Swollen Lymph Nodes,Dizziness,Runny Nose,Malaria
Loss of Appetite,Vomiting,Difficulty Swallowing,Skin Peeling,Weakness,High Blood Pressure,Low Blood Pressure,Unknown
Weakness,Low Blood Pressure,Rapid Heart Rate,Difficulty Swallowing,Sore Throat,Rash,Diarrhea,Unknown
Loss of Smell,Chills,Runny Nose,Nausea,Vomiting,Skin Redness,Diarrhea,Unknown
Abdominal Pain,Loss of Appetite,Skin Redness,Loss of Taste,Nausea,Joint Pain,Sweating,Unknown
Skin Peeling,Difficulty Swallowing,Chest Pain,Vomiting,High Blood Pressure,Shortness of Breath,Confusion,Unknown
High Blood Pressure,Sweating,Blurred Vision,Nausea,Confusion,Difficulty Swallowing,Muscle Pain,Unknown
Weakness,Fatigue,Headache,Rash,Diarrhea,Loss of Taste,Vomiting,Meningitis
Sore Throat,Abdominal Pain,Headache,High Blood Pressure,Cough,Ear Pain,Low Blood Pressure,Scarlet Fever
Nausea,Difficulty Swallowing,Chest Pain,Fatigue,Blurred Vision,Skin Redness,Chills,Malaria
Joint Pain,Ear Pain,Confusion,Blurred Vision,Shortness of Breath,Skin Peeling,Sweating,Ear Infection
Joint Pain,Loss of Smell,Fever,Cough,Vomiting,Nausea,Blurred Vision,Pneumonia
Loss of Appetite,Ear Pain,Weakness,Skin Peeling,Nausea,Blurred Vision,Fever,Flu
High Blood Pressure,Nausea,Loss of Smell,Diarrhea,Abdominal Pain,Loss of Taste,Runny Nose,Migraine
Headache,Diarrhea,Blurred Vision,Joint Pain,Fever,Skin Peeling,Difficulty Swallowing,Malaria
Diarrhea,Loss of Smell,Sore Throat,Dizziness,Rash,Nausea,Headache,Unknown
Loss of Taste,Headache,Shortness of Breath,Nausea,Joint Pain,Difficulty Swallowing,Vomiting,Meningitis
Fever,Headache,Chest Pain,Shortness of Breath,Blurred Vision,Loss of Smell,Rash,Strep Throat
Joint Pain,Confusion,Fever,Vomiting,Skin Redness,Sore Throat,Dizziness,Meningitis
Vomiting,Chills,Diarrhea,Low Blood Pressure,Fatigue,Skin Peeling,Confusion,Malaria
Chills,Confusion,Muscle Pain,Loss of Appetite,Skin Peeling,Dizziness,Skin Redness,Malaria
Chest Pain,Joint Pain,Skin Peeling,Loss of Appetite,Muscle Pain,Low Blood Pressure,Fatigue,Unknown
Loss of Taste,Muscle Pain,Chills,Loss of Smell,Abdominal Pain,Blurred Vision,High Blood Pressure,Dengue
Chest Pain,High Blood Pressure,Ear Pain,Chills,Joint Pain,Difficulty Swallowing,Dizziness,Ear Infection
Loss of Taste,Skin Redness,Weakness,Rapid Heart Rate,Diarrhea,Joint Pain,Muscle Pain,Unknown
Headache,Rash,Diarrhea,Cough,Vomiting,Muscle Pain,Sore Throat,Unknown
Loss of Smell,Ear Pain,Fever,Chest Pain,Chills,Sore Throat,Dizziness,Ear Infection
Joint Pain,Loss of Smell,Abdominal Pain,Chills,Shortness of Breath,Chest Pain,Weakness,Unknown
Ear Pain,Confusion,Vomiting,Difficulty Swallowing,Sweating,Fatigue,Diarrhea,Food Poisoning
Diarrhea,Weakness,Runny Nose,Blurred Vision,Ear Pain,Rash,Chills,Unknown
Ear Pain,Blurred Vision,Loss of Appetite,Abdominal Pain,Low Blood Pressure,Sore Throat,Weakness,Flu
Chest Pain,Loss of Taste,Fatigue,Vomiting,Blurred Vision,Weakness,Low Blood Pressure,Unknown
Blurred Vision,Cough,Runny Nose,Abdominal Pain,Ear Pain,Rash,Weakness,Food Poisoning
Skin Peeling,Sweating,Loss of Appetite,Skin Redness,Ear Pain,Loss of Smell,Vomiting,Ear Infection
Rapid Heart Rate,Sore Throat,Sweating,Rash,Shortness of Breath,Low Blood Pressure,Swollen Lymph Nodes,Scarlet Fever
Headache,Nausea,Abdominal Pain,Fever,Rapid Heart Rate,Chest Pain,Sore Throat,Hypertension
Chest Pain,Weakness,Sweating,Fatigue,Nausea,Swollen Lymph Nodes,Fever,Dengue
Loss of Appetite,Weakness,Rash,Joint Pain,Skin Redness,Fever,Runny Nose,Typhoid
Skin Redness,Runny Nose,Chest Pain,Rash,Loss of Appetite,Joint Pain,Blurred Vision,Unknown
Dizziness,Runny Nose,Difficulty Swallowing,Chest Pain,Confusion,Swollen Lymph Nodes,Fatigue,Cold
Rash,Sweating,Chest Pain,Blurred Vision,Headache,Loss of Smell,Abdominal Pain,Unknown
Chest Pain,Rapid Heart Rate,Confusion,Nausea,Fever,Muscle Pain,Difficulty Swallowing,Migraine
Ear Pain,Cough,Low Blood Pressure,Vomiting,High Blood Pressure,Joint Pain,Fever,Food Poisoning
Vomiting,Nausea,Swollen Lymph Nodes,Chills,Joint Pain,Skin Redness,Rapid Heart Rate,Scarlet Fever
Dizziness,Shortness of Breath,Loss of Smell,Fever,Sweating,Loss of Appetite,Blurred Vision,Flu
Sweating,Diarrhea,Muscle Pain,Rash,Chest Pain,Shortness of Breath,Fatigue,Hypertension
Skin Peeling,Low Blood Pressure,Shortness of Breath,Runny Nose,Diarrhea,Sore Throat,Skin Redness,Unknown
Rash,Confusion,Chills,Ear Pain,Chest Pain,Muscle Pain,Diarrhea,Unknown
Rash,Sweating,Diarrhea,Cough,Ear Pain,Shortness of Breath,Low Blood Pressure,Unknown
High Blood Pressure,Diarrhea,Nausea,Chills,Blurred Vision,Runny Nose,Confusion,Migraine
Runny Nose,Confusion,Fatigue,Loss of Smell,Loss of Appetite,High Blood Pressure,Diarrhea,Unknown
Blurred Vision,Headache,Skin Redness,Fever,Abdominal Pain,Rash,Dizziness,COVID-19
Abdominal Pain,Confusion,Rash,Ear Pain,Dizziness,Cough,Swollen Lymph Nodes,Typhoid
Sweating,Runny Nose,Nausea,Vomiting,Abdominal Pain,Low Blood Pressure,Skin Peeling,Unknown
High Blood Pressure,Fatigue,Fever,Skin Peeling,Ear Pain,Headache,Chest Pain,Meningitis
Weakness,Headache,Rapid Heart Rate,Sweating,Diarrhea,Loss of Smell,Muscle Pain,Hypertension
Swollen Lymph Nodes,Skin Redness,Blurred Vision,Joint Pain,Rapid Heart Rate,Runny Nose,Fever,Flu
Diarrhea,Loss of Appetite,Difficulty Swallowing,Chest Pain,Skin Redness,Confusion,Loss of Taste,Unknown
Rash,Nausea,Rapid Heart Rate,Loss of Taste,Fever,Sweating,Loss of Smell,Strep Throat
Loss of Smell,Swollen Lymph Nodes,Runny Nose,Muscle Pain,Abdominal Pain,Diarrhea,Chest Pain,Pneumonia
Headache,Weakness,Chills,Difficulty Swallowing,Skin Peeling,Skin Redness,Rash,Scarlet Fever
